Virupakshapura,"44847"
Raghavendra Colony,"45042"
Shankarapura,"45577"
Jaya Chamarajendra Nagar,"42537"
Chinnapa Garden,"45041"
Garudachar Palya,"44905"
Wheeler Road,"706"
Narasapura,"35888"
Ramohalli,"42744"
Harohalli,"44639"
Kolar Road,"27300"
Anagalapura,"44311"
Chokkanahalli,"45267"
Gunjur Mugalur Road,"45418"
Arasanakunte,"45421"
Bettahalasur,"36398"
Chikkakannalli,"44677"
Kallumantapa,"44709"
Kothanoor,"45408"
Sampigehalli,"45364"
Tilak Nagar,"45630"
Dayananda Nagar,"26949"
Bhovi Palya,"44998"
Chikka Tirupathi Road,"45392"
Soundarya Layout,"43336"
Vittal Nagar,"28803"
Ragavendra Nagar,"36541"
Sonnenahalli,"44835"
Chickpet,"160"
Haudin Road,"280"
Millers Road,"446"
Yelanahalli,"45481"
Defence Colony - Bagalagunte,"22"
Race Course Road,"538"
Langford Road,"35871"
Chintamani,"37955"
Kuthaganahalli,"45239"
Tharabanahalli,"44646"
Shanthala Nagar,"45040"
Chikkagubbi,"45643"
Pattandur Agrahara,"44572"
Koppa,"26468"
Gollahalli,"44533"
Binny Pete,"44809"
Kodipur,"43640"
Lake City,"44917"
Munireddypalya,"45048"
Azad Nagar,"81"
Rest House Road,"5415"
Richard's Park,"34038"
Cottonpete,"44288"
Dodsworth Layout,"44564"
Ashirvad Colony,"44706"
Doddabele,"44954"
Craig Park Layout,"45039"
Nelamangala - Chikkaballapura Road,"45301"
Vaderahalli,"45764"
Basavanna Nagar,"25967"
Huttanahalli,"44293"
Vijaypura,"36618"
Donnenahalli,"45135"
Chadalapura,"45405"
Meenakunte,"45453"
Lingadheeranahalli,"45553"
Residency Road,"35870"
Sidlaghatta,"36524"
Dabaspete,"37065"
Kalasipalayam,"44834"
Somashetti Halli,"45606"
Chikkanahalli,"26725"
Kolar-Chikkaballapur Road,"36625"
Singanahalli,"37079"
Karuna Nagar,"44609"
Belatur,"44655"
Chamundi Nagar,"44690"
Garden Layout,"44873"
Sankey Road,"45205"
Tippenahalli,"45338"
Bhaktharahalli,"45359"
Nehru Nagar,"45568"
Venkateshpuram,"45647"
Bapuji Nagar,"99"
Williams Town,"708"
Kammasandra Agrahara,"26445"
Bikkanahalli,"27661"
National Highway 207,"28926"
Kadusonnappanahalli,"37321"
Solur,"37929"
Chikkaballapur-Gauribidanur Road,"43117"
Doddenahalli,"44237"
Weavers Colony,"44242"
Hancharahalli,"44493"
Devasthanagalu,"44622"
Chikkabasavanapura,"44640"
Nanjappa Garden,"44710"
Budihal,"44750"
Seenappa Layout,"44913"
CQAL Layout,"44984"
Shanthi Pura,"44997"
Lakshmamma Layout,"45013"
Madhava Nagar,"45047"
Adakamaranahalli,"45117"
Vehloli,"45206"
Hullahalli,"45261"
Tharaballi,"45280"
Ganapathihalli,"45315"
Ballur,"45391"
Venkatagiri Kote,"45407"
Kunigal Road,"45422"
Essel Gardens,"45443"
S.Medihalli,"45474"
Koti Hosahalli,"45550"
Kommaghatta,"45739"
